combination_id,replication,arrival_rate,eq_mecanica_capacity,simulation_time,warm_up_period,entities_processed,throughput,system_time_avg,Triagem_queue_time,Triagem_service_time,Manutencao_Eletrica_queue_time,Manutencao_Eletrica_service_time,Lanternagem_queue_time,Lanternagem_service_time,Manutencao_Mecanica_queue_time,Manutencao_Mecanica_service_time,funcionario_utilization,funcionario_avg_queue,funcionario_max_queue,eq_eletrica_utilization,eq_eletrica_avg_queue,eq_eletrica_max_queue,eq_mecanica_utilization,eq_mecanica_avg_queue,eq_mecanica_max_queue,eq_lantern_utilization,eq_lantern_avg_queue,eq_lantern_max_queue
6,2,3.0,1,2080,40,1010,0.4950980392156863,9.785593421487366,0.006825913356256674,0.16961673046480039,0.6911332029759705,2.3346457638092213,14.182842321283735,4.527876309893016,1.1727274715348566,3.5992759124487725,0.08425288004684472,0.00012075358847105948,2,0.2712309049131301,0.034718615530716236,4,0.5074066658125959,0.21047444149026007,7,0.7411222345919571,2.087104607865524,14
6,3,3.0,1,2080,40,1037,0.5083333333333333,7.3080724783977535,0.006791897787604807,0.16929098346298374,1.5920864797637255,2.5572900946325388,6.979659639191267,4.400124154124576,1.2319335461724334,3.7434930006385816,0.08644746153199119,0.0002340300226782855,2,0.32216840898066706,0.11445061451966183,6,0.5527064910561782,0.22599030737987552,6,0.636253441294876,0.7968059463446386,7
6,4,3.0,1,2080,40,1007,0.4936274509803922,9.597476024782884,0.00888762976799127,0.17002780938261286,1.4483195353498133,2.505268981188481,13.870522365859083,5.082453686009409,1.9563613342328916,3.7777648780025106,0.08411405772813398,0.0009357194085649547,2,0.33649201021845243,0.10315117758320486,5,0.5320662227828435,0.43176255851402073,9,0.6684752825250928,1.5694022728810706,13
7,0,3.0,2,2080,40,1054,0.5166666666666667,10.562152359782907,0.008376048854945976,0.17015509689045136,1.0754723687724679,2.2963425821171555,15.750633749079146,5.163224462736473,1.7734464759147988,3.9085752323128395,0.08832978364597509,0.00011616234528825468,2,0.32418954100477515,0.07845524762717912,6,0.5394518466645896,0.340737045868669,8,0.8225725247006633,2.1139551446215408,14
7,1,3.0,2,2080,40,1062,0.5205882352941177,8.98876126580254,0.009390205649119892,0.17007836207814087,0.7028475304114312,2.3004435803540804,13.109019862481269,4.998322620744957,1.277979513538508,3.6425997814482303,0.08843105675413857,0.0005355981621074293,2,0.2830447738572913,0.027255142060484034,3,0.5416124967016281,0.2733484836067636,10,0.7573491340768815,1.6421723834260198,13
7,2,3.0,2,2080,40,997,0.4887254901960784,8.409950092820102,0.0070283770353991104,0.17034672786360405,0.6151399524451301,2.1493997793538737,10.74538834351253,5.266383540489175,1.1111441459218636,3.646489858447501,0.08331979699384096,0.0002278359328639168,2,0.25283491428601845,0.023001563328364116,3,0.5088180053479588,0.20582962025572163,6,0.7831788597860792,1.2332263272485853,7
7,3,3.0,2,2080,40,989,0.48480392156862745,7.788066274901528,0.009336968072276281,0.17161968402592523,1.0359935399013265,2.474970050282766,9.128763535373121,4.571927901626573,0.8804746684881346,3.6211439740896036,0.083530163370853,0.0007044951114610867,2,0.27349910622919493,0.0385849619670414,4,0.5218262440181098,0.15257509337195146,6,0.6697961908049029,1.0934336362516166,8
7,4,3.0,2,2080,40,975,0.47794117647058826,7.392311550351738,0.007755805626733532,0.16874001792667573,0.762944791667111,2.5808221395813935,7.419598587200223,4.426639981683227,1.3739423892103264,3.6952357955112007,0.08113551061430205,0.0006816594767422806,3,0.32631076339950443,0.03848003952632599,4,0.5012865470286364,0.2551947075148873,6,0.6207468712490531,0.7976797615562938,12
8,0,3.0,3,2080,40,990,0.4852941176470588,7.874041431712447,0.006249884049174651,0.1708438467283368,0.901975192618179,2.3282995352582683,8.609118522876937,4.99289108257815,1.2020644749212392,3.7795737854479694,0.08246455000049896,0.00031774298450191546,2,0.2900237678740517,0.04373019401357137,4,0.5161927274425664,0.2064100950928021,7,0.719382572513214,0.9738456680612152,7
8,1,3.0,3,2080,40,1003,0.49166666666666664,9.058178742642214,0.00598036787182271,0.16969454626278657,0.9038576549682366,2.5395099174475373,13.109327527660518,5.429480930413645,0.8948847070952403,3.4653135764157774,0.0831038036191874,0.0,1,0.32117331308895397,0.04308969706464188,3,0.4923025743515972,0.1488194662002723,5,0.7871096660620741,1.5822637252375118,10
8,2,3.0,3,2080,40,961,0.471078431372549,9.889663447157893,0.007002552737947541,0.1707723428042892,1.1805792602261769,2.432340075749856,16.03437232570298,4.937646920427407,0.8650651818931614,3.7171028164343967,0.08071621302080009,0.00033028646105065615,2,0.30231598722880426,0.08662912720985651,6,0.481049120358894,0.14110797664844654,5,0.69470699839371,1.9398633271273815,13
8,3,3.0,3,2080,40,1025,0.5024509803921569,9.770171591493831,0.006379145514323773,0.16935069385543458,0.7996905616207653,2.183250326823885,15.237460873566777,5.199051587865132,1.3987771411451395,3.7420287414548317,0.08549792732397138,0.00028763095953165165,2,0.29145208909723824,0.050642205739640976,3,0.516086337083718,0.2686194212854709,7,0.7684155437578712,1.9193365489901362,13
8,4,3.0,3,2080,40,982,0.48137254901960785,8.836096111682203,0.00812767479979699,0.1698750823124389,1.3603728346747224,2.2927804706032235,10.597299709952491,5.050324440084105,1.439948049377817,3.7156497982148737,0.08201811548963706,0.00010092552463106307,2,0.26749105490370956,0.0896566337779057,6,0.5236008363588072,0.27271307996239524,6,0.7411547369763885,1.2612431724237918,10
